codelist,code,label,parent
soc,1,"Managers, directors and senior officials",all
soc,11,Corporate managers and directors,1
soc,111,Chief executives and senior officials,11
soc,1115,Chief executives and senior officials,111
soc,1116,Elected officers and representatives,111
soc,112,Production managers and directors,11
soc,1121,Production managers and directors in manufacturing,112
soc,1122,Production managers and directors in construction,112
soc,1123,Production managers and directors in mining and energy,112
soc,113,Functional managers and directors,11
soc,1131,Financial managers and directors,113
soc,1132,Marketing and sales directors,113
soc,1133,Purchasing managers and directors,113
soc,1134,Advertising and public relations directors,113
soc,1135,Human resource managers and directors,113
soc,1136,Information technology and telecommunications directors,113
soc,1139,Functional managers and directors n.e.c.,113
soc,115,Financial institution managers and directors,11
soc,1150,Financial institution managers and directors,115
soc,116,Managers and directors in transport and logistics,11
soc,1161,Managers and directors in transport and distribution,116
soc,1162,Managers and directors in storage and warehousing,116
soc,117,Senior officers in protective services,11
soc,1171,Officers in armed forces,117
soc,1172,Senior police officers,117
soc,1173,"Senior officers in fire, ambulance, prison and related services",117
soc,118,Health and social services managers and directors,11
soc,1181,Health services and public health managers and directors,118
soc,1184,Social services managers and directors,118
soc,119,Managers and directors in retail and wholesale,11
soc,1190,Managers and directors in retail and wholesale,119
soc,12,Other managers and proprietors,1
soc,121,Managers and proprietors in agriculture related services,12
soc,1211,Managers and proprietors in agriculture and horticulture,121
soc,1213,"Managers and proprietors in forestry, fishing and related services",121
soc,122,Managers and proprietors in hospitality and leisure services,12
soc,1221,Hotel and accommodation managers and proprietors,122
soc,1223,Restaurant and catering establishment managers and proprietors,122
soc,1224,Publicans and managers of licensed premises,122
soc,1225,Leisure and sports managers,122
soc,1226,Travel agency managers and proprietors,122
soc,124,Managers and proprietors in health and care services,12
soc,1241,Health care practice managers,124
soc,1242,"Residential, day and domiciliary  care managers and proprietors",124
soc,125,Managers and proprietors in other services,12
soc,1251,"Property, housing and estate managers",125
soc,1252,Garage managers and proprietors,125
soc,1253,Hairdressing and beauty salon managers and proprietors,125
soc,1254,Shopkeepers and proprietors – wholesale and retail,125
soc,1255,Waste disposal and environmental services managers,125
soc,1259,Managers and proprietors in other services n.e.c.,125
soc,2,Professional occupations,all
soc,21,"Science, research, engineering and technology professionals",2
