code,label,parent
UKC11,Hartlepool and Stockton-on-Tees,UKC1
UKC12,South Teesside,UKC1
UKC13,Darlington,UKC1
UKC14,Durham CC,UKC1
UKC21,Northumberland,UKC2
UKC22,Tyneside,UKC2
UKC23,Sunderland,UKC2
UKD11,West Cumbria,UKD1
UKD12,East Cumbria,UKD1
UKD33,Manchester,UKD3
UKD34,Greater Manchester South West,UKD3
UKD35,Greater Manchester South East,UKD3
UKD36,Greater Manchester North West,UKD3
UKD37,Greater Manchester North East,UKD3
UKD41,Blackburn with Darwen,UKD4
UKD42,Blackpool,UKD4
UKD44,Lancaster and Wyre,UKD4
UKD45,Mid Lancashire,UKD4
UKD46,East Lancashire,UKD4
UKD47,Chorley and West Lancashire,UKD4
UKD61,Warrington,UKD6
UKD62,Cheshire East,UKD6
UKD63,Cheshire West and Chester,UKD6
UKD71,East Merseyside,UKD7
UKD72,Liverpool,UKD7
UKD73,Sefton,UKD7
UKD74,Wirral,UKD7
UKE11,"Kingston upon Hull, City of",UKE1
UKE12,East Riding of Yorkshire,UKE1
UKE13,North and North East Lincolnshire,UKE1
UKE21,York,UKE2
UKE22,North Yorkshire CC,UKE2
UKE31,"Barnsley, Doncaster and Rotherham",UKE3
UKE32,Sheffield,UKE3
UKE41,Bradford,UKE4
UKE42,Leeds,UKE4
UKE44,Calderdale and Kirklees,UKE4
UKE45,Wakefield,UKE4
UKF11,Derby,UKF1
UKF12,East Derbyshire,UKF1
UKF13,South and West Derbyshire,UKF1
UKF14,Nottingham,UKF1
UKF15,North Nottinghamshire,UKF1
UKF16,South Nottinghamshire,UKF1
UKF21,Leicester,UKF2
UKF22,Leicestershire CC and Rutland,UKF2
UKF24,West Northamptonshire,UKF2
UKF25,North Northamptonshire,UKF2
UKF30,Lincolnshire,UKF3
UKG11,"Herefordshire, County of",UKG1
UKG12,Worcestershire,UKG1
UKG13,Warwickshire,UKG1
UKG21,Telford and Wrekin,UKG2
UKG22,Shropshire CC,UKG2
UKG23,Stoke-on-Trent,UKG2
UKG24,Staffordshire CC,UKG2
UKG31,Birmingham,UKG3
UKG32,Solihull,UKG3
UKG33,Coventry,UKG3
UKG36,Dudley,UKG3
UKG37,Sandwell,UKG3
UKG38,Walsall,UKG3
UKG39,Wolverhampton,UKG3
UKH11,Peterborough,UKH1
UKH12,Cambridgeshire CC,UKH1
UKH14,Suffolk,UKH1
UKH15,Norwich and East Norfolk,UKH1
UKH16,North and West Norfolk,UKH1
UKH17,Breckland and South Norfolk,UKH1
UKH21,Luton,UKH2
UKH23,Hertfordshire,UKH2
UKH24,Bedford,UKH2
UKH25,Central Bedfordshire,UKH2
UKH31,Southend-on-Sea,UKH3
UKH32,Thurrock,UKH3
UKH34,Essex Haven Gateway,UKH3
UKH35,West Essex,UKH3
UKH36,Heart of Essex,UKH3
UKH37,Essex Thames Gateway,UKH3
UKI31,Camden and City of London,UKI3
UKI32,Westminster,UKI3
UKI33,Kensington & Chelsea and Hammersmith & Fulham,UKI3
UKI34,Wandsworth,UKI3
UKI41,Hackney and Newham,UKI4
UKI42,Tower Hamlets,UKI4
