V4_0,Time_codelist,Time,Geography_codelist,Geography,cpi1dim1aggid,Aggregate
86.8,Month,Jan-96,K02000001,,cpi1dim1A0,CPI (overall index)
90.3,Month,Jan-96,K02000001,,cpi1dim1G10100,01.1 Food
93.8,Month,Jan-96,K02000001,,cpi1dim1G10200,01.2 Non-alcoholic beverages
95.6,Month,Jan-96,K02000001,,cpi1dim1G20100,02.1 Alcoholic beverages
57.2,Month,Jan-96,K02000001,,cpi1dim1G20200,02.2 Tobacco
163.7,Month,Jan-96,K02000001,,cpi1dim1G30100,03.1 Clothing
142.3,Month,Jan-96,K02000001,,cpi1dim1G30200,03.2 Footwear including repairs
75.7,Month,Jan-96,K02000001,,cpi1dim1G40100,04.1 Actual rentals for housing
74,Month,Jan-96,K02000001,,cpi1dim1G40300,04.3 Regular maintenance and repair of the dwelling
71.6,Month,Jan-96,K02000001,,cpi1dim1G40400,04.4 Water supply and misc. services for the dwelling
85.1,Month,Jan-96,K02000001,,cpi1dim1G40500,"04.5 Electricity , gas and other fuels"
92.9,Month,Jan-96,K02000001,,cpi1dim1G50100,"05.1 Furniture, furnishings and carpets"
118.9,Month,Jan-96,K02000001,,cpi1dim1G50200,05.2 Household textiles
121.5,Month,Jan-96,K02000001,,cpi1dim1G50300,"05.3 Household appliances, fitting and repairs"
113.7,Month,Jan-96,K02000001,,cpi1dim1G50400,"05.4 Glassware, tableware and household utensils"
119,Month,Jan-96,K02000001,,cpi1dim1G50500,05.5 Tools and equipment for house and garden
83.4,Month,Jan-96,K02000001,,cpi1dim1G50600,05.6 Goods and services for routine maintenance
86.4,Month,Jan-96,K02000001,,cpi1dim1G60100,"06.1 Medical products, appliances and equipment"
110.4,Month,Jan-96,K02000001,,cpi1dim1G70100,07.1 Purchase of vehicles
64.2,Month,Jan-96,K02000001,,cpi1dim1G70200,07.2 Operation of personal transport equipment
67.8,Month,Jan-96,K02000001,,cpi1dim1G70300,07.3 Transport services
82,Month,Jan-96,K02000001,,cpi1dim1G80100,08.1 Postal services
127.3,Month,Jan-96,K02000001,,cpi1dim1G80200,08.2/3 Telephone and telefax equip
258.8,Month,Jan-96,K02000001,,cpi1dim1G90100,09.1 Audio-visual equipment and related products
113.6,Month,Jan-96,K02000001,,cpi1dim1G90300,"09.3 Other recreational items, gardens and pets"
73.5,Month,Jan-96,K02000001,,cpi1dim1G90400,09.4 Recreational and cultural services
79.5,Month,Jan-96,K02000001,,cpi1dim1G90500,"09.5 Books, newspapers and stationery"
64.7,Month,Jan-96,K02000001,,cpi1dim1G90600,09.6 Package holidays
59.9,Month,Jan-96,K02000001,,cpi1dim1G100000,10.0 Education
73.6,Month,Jan-96,K02000001,,cpi1dim1G110100,11.1 Catering services
66.4,Month,Jan-96,K02000001,,cpi1dim1G110200,11.2 Accommodation services
87.5,Month,Jan-96,K02000001,,cpi1dim1G120100,12.1 Personal care
102.2,Month,Jan-96,K02000001,,cpi1dim1G120300,12.3 Personal effects (nec)
60.6,Month,Jan-96,K02000001,,cpi1dim1G120500,12.5 Insurance
132.5,Month,Jan-96,K02000001,,cpi1dim1G120600,12.6 Financial services (nec)
56.3,Month,Jan-96,K02000001,,cpi1dim1G120700,12.7 Other services (nec)
94.2,Month,Jan-96,K02000001,,cpi1dim1S10101,01.1.1 Bread and cereals
91.9,Month,Jan-96,K02000001,,cpi1dim1S10102,01.1.2 Meat
81,Month,Jan-96,K02000001,,cpi1dim1S10103,01.1.3 Fish
91.7,Month,Jan-96,K02000001,,cpi1dim1S10104,"01.1.4 Milk, cheese and eggs"
100.7,Month,Jan-96,K02000001,,cpi1dim1S10105,01.1.5 Oils and fats
85.2,Month,Jan-96,K02000001,,cpi1dim1S10106,01.1.6 Fruit
98.2,Month,Jan-96,K02000001,,cpi1dim1S10107,01.1.7 Vegetables including potatoes and tubers
81,Month,Jan-96,K02000001,,cpi1dim1S10108,"01.1.8 Sugar, jam, syrups, chocolate and confectionery"
93.7,Month,Jan-96,K02000001,,cpi1dim1S10109,01.1.9 Food products (nec)
103.6,Month,Jan-96,K02000001,,cpi1dim1S10201,"01.2.1 Coffee, tea and cocoa"
90.5,Month,Jan-96,K02000001,,cpi1dim1S10202,"01.2.2 Mineral waters, soft drinks and juices"
95.4,Month,Jan-96,K02000001,,cpi1dim1S20101,02.1.1 Spirits
93.6,Month,Jan-96,K02000001,,cpi1dim1S20102,02.1.2 Wine
99.9,Month,Jan-96,K02000001,,cpi1dim1S20103,02.1.3 Beer
57.2,Month,Jan-96,K02000001,,cpi1dim1S20200,02.2.0 Tobacco
170.1,Month,Jan-96,K02000001,,cpi1dim1S30102,03.1.2 Garments
120.4,Month,Jan-96,K02000001,,cpi1dim1S30103,03.1.3 Other clothing and clothing accessories
72.7,Month,Jan-96,K02000001,,cpi1dim1S30104,"03.1.4 Cleaning, repair and hire of clothing"
142.3,Month,Jan-96,K02000001,,cpi1dim1S30200,03.2.0 Footwear including repairs
75.7,Month,Jan-96,K02000001,,cpi1dim1S40100,04.1.0 Actual rentals for housing
97.4,Month,Jan-96,K02000001,,cpi1dim1S40301,04.3.1 Materials for maintenance and repair
56.5,Month,Jan-96,K02000001,,cpi1dim1S40302,04.3.2 Services for maintenance and repair
70.9,Month,Jan-96,K02000001,,cpi1dim1S40401,04.4.1 Water supply
72.7,Month,Jan-96,K02000001,,cpi1dim1S40403,04.4.3 Sewerage collection
96.7,Month,Jan-96,K02000001,,cpi1dim1S40501,04.5.1 Electricity
78.1,Month,Jan-96,K02000001,,cpi1dim1S40502,04.5.2 Gas
51.4,Month,Jan-96,K02000001,,cpi1dim1S40503,04.5.3 Liquid fuels
73.3,Month,Jan-96,K02000001,,cpi1dim1S40504,04.5.4 Solid fuels
93.8,Month,Jan-96,K02000001,,cpi1dim1S50101,05.1.1 Furniture and furnishings
89.7,Month,Jan-96,K02000001,,cpi1dim1S50102,05.1.2 Carpets and other floor coverings
118.9,Month,Jan-96,K02000001,,cpi1dim1S50200,05.2.0 Household Textiles
132.5,Month,Jan-96,K02000001,,cpi1dim1S50301,05.3.1/2 Major appliances and small electric goods
66.2,Month,Jan-96,K02000001,,cpi1dim1S50303,05.3.3 Repair of household appliances
113.7,Month,Jan-96,K02000001,,cpi1dim1S50400,"05.4.0 Glassware, Tableware and Household Utensils"
119,Month,Jan-96,K02000001,,cpi1dim1S50500,05.5.0 Tools and equipment for House and Garden
